,Penjual,Kota Toko,Nama Produk,Harga Produk,Jumlah Terjual,Rating Produk
772,ken-olshop,Bekasi,seblak ceker pedas kerupuk,9000.0,Terjual 250+,5.0
773,Alanza Frozen Food,Tangerang Selatan,Sami Raos Baso MIE SEBLAK Geprek Khas Garut 135 Gram,16500.0,Terjual 16,5.0
774,Toko Toni Jaya Mandiri,Kab. Bekasi,Krupuk Seblak Pedas Kencur 500 gram Terlaris,33000.0,Terjual 13,5.0
775,Pusat Baso Aci,Surabaya,Baso Aci GEPREK Seblak GEPREK boci instant samiraos boci geprek tulang,15300.0,Terjual 30+,4.8
776,Seblak putra bandung,Kab. Bandung,seblak kerupuk kering pedas gurih 100 gram,5000.0,Terjual 100+,4.8
777,Militan Snack,Kab. Sidoarjo,Seblak Kuah Instan Pedas Militan Jeletot Pedas Cuanki Bandung - Cemen,18000.0,Terjual 25,None
778,CEMILAGIH,Kab. Garut,Kerupuk Seblak Bantat Bintang pedas,12900.0,Terjual 27,5.0
779,Snack Zone Official,Jakarta Selatan,keripik seblak pedas putih,18000.0,Terjual 70+,4.9
780,Juhalim Store,Kab. Garut,seblak kerupuk bantet pedas-kerupuk bantet wana-seblak pedas-seblak,15000.0,Terjual 15,5.0
781,KAMI FOODS,Kab. Tasikmalaya,SUDES - SEBLAK INSTAN PANGGANG - TINGGAL SEDUH PRAKTIS |  KHAS TASIK,10000.0,None,None
782,Astar Food,Bandung,BATAGOR CUANKI TAHU KERING SIOMAI SIOMAY SEBLAK 150GR TOPING BASO MIE,7500.0,Terjual 100+,4.8
783,Morgan's Mart,Jakarta Barat,Ten's Mie Kremes 65gr | Original Seblak Vegan Friendly,11000.0,Terjual 10,5.0
784,bangkit jaya snack,Bekasi,kerupuk seblak keriting/seblak kriting/kerupuk seblak,30000.0,Terjual 25,4.7
785,Raden Food,Bekasi,seblak instan,11000.0,Terjual 90+,5.0
786,SJB Market,Bandung,Kerupuk Aci Seblak - SJB Market,5000.0,Terjual 16,5.0
787,Seblak putra bandung,Kab. Bandung,Seblak kerupuk mawar pedas ekstra daun jeruk 100 gram,5000.0,Terjual 100+,4.7
788,basreng_medok,Jakarta Barat,Kerupuk Seblak Garing 100gram Termurah,10000.0,Terjual 100+,4.9
789,kylafood,Bandung,"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",53625.0,Terjual 500+,4.9
790,gaiagarut,Kab. Garut,Cuanki Baso Tahu Kering ISI 150pcs untuk Seblak dan baso aci,36959.0,Terjual 1 rb+,4.9
791,JURAGAN IKAN LAUT,Jakarta Selatan,Kerupuk Seblak Mentah Berkualitas - 250 Gram,10000.0,Terjual 8,5.0
792,BuddhiSMART,Tangerang,Kerupuk Mentah Mawar Putih Seblak Viral Bawang 1 Bal 5 Kg,95000.0,Terjual 1,None
793,ArfaOnlineShop,Tangerang,BUMBU KUAH CUANKI BASO ACO/BOCI SEBLAK ECERAN,699.0,Terjual 500+,4.9
794,gilang snack 99,Kab. Bogor,kerupuk seblak kencur kerupuk jablay pedas daun jeruk murah bandung,80000.0,Terjual 80+,4.8
795,Endo Shop ID,Kab. Garut,"500 pcs Cuanki Lidah Kemasan Besar Topping Baso aci, seblak, cuanki",106000.0,Terjual 250+,4.9
796,Snackzone KK,Jakarta Selatan,Kerupuk seblak putih,18000.0,Terjual 20,5.0
797,hilmandza,Kab. Tangerang,Seblak Baso Aci Instan,13500.0,Terjual 6,5.0
798,Akun_Kuliner,Tangerang Selatan,kerupuk sebelak daun jeruk/kerupuk Seblak pedas,10000.0,Terjual 16,5.0
799,ajs(ale jaya snack),Jakarta Utara,KERUPUK SEBLAK KENCUR PEDAS 1KG/SNACK KILOAN,41000.0,Terjual 2,5.0
800,Mokosnacksby,Surabaya,Krupuk Seblak Kencur Seblak Jablay 250gr,12500.0,Terjual 250+,4.9
801,Distributor-Jaya,Tangerang,Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll,11000.0,Terjual 100+,4.9
802,tukangsayurjkt,Jakarta Selatan,kerupuk bawang mentah/kerupuk seblak/kerupuk warna warni 1kg,37000.0,Terjual 30+,5.0
803,Pasar Keripik,Bandung,Pasar Keripik Cimol Seblak Pedas size Kecil 130g,12500.0,Terjual 500+,4.9
804,ArfaOnlineShop,Tangerang,BUMBU KUAH KOMPLIT EXRA REMPAH BASO ACI/SEBLAK/BOCI MURAH,1999.0,Terjual 100+,4.5
805,Seblak Cilookba,Kab. Bandung Barat,seblak colok karuhun,13000.0,Terjual 50+,4.8
806,samudrasembako,Jakarta Barat,INDOMIE HYPE ABIS RASA SEBLAK HOT JELETOT 75 GR,2800.0,Terjual 250+,4.6
807,AUFARO SNACK,Kab. Bandung Barat,seblak instant komplit bumbu cikruh bandung aufaro snack,6400.0,Terjual 250+,4.9
808,IKAN SEGAR CAK ADNAN,Jakarta Selatan,Kerupuk Seblak/Nasgor Mentah 250gr,10000.0,Terjual 7,5.0
809,Gerai Snack Official Shop,Kab. Tangerang,Seblak Basah Instan Good Friend (90gr),15500.0,Terjual 40+,5.0
810,Keripik Edun Bandung,Kab. Bandung,Kerupuk Seblak Kering Putih Ngembang Khas Keripik Pojok Riki Mang Odod,13999.0,Terjual 18,5.0
811,Kudapan,Jakarta Pusat,Kerupuk Seblak Rafael,10000.0,Terjual 7,None
812,Snackzone KK,Jakarta Selatan,kerupuk seblak mini,18000.0,Terjual 20,5.0
813,RIKI STORE 97,Kab. Bogor,Sabring kerupuk seblak jablay pedas Jumbo,14500.0,Terjual 20,4.8
814,KRIUK JAYA,Jakarta Barat,Kerupuk SEBLAK KERITING PEDAS ( 1 Kg ),79000.0,Terjual 8,5.0
